Project Name,Checkpoint Name,Created On,File Name,Lines,Statements,Percent Branch Statements,Percent Lines with Comments,Classes Defined,Methods Implemented per Class,Average Statements per Method,Line Number of Most Complex Function*,Name of Most Complex Function*,Maximum Complexity*,Line Number of Deepest Block,Maximum Block Depth,Average Block Depth,Average Complexity*,Functions,Statements at block level 0,Statements at block level 1,Statements at block level 2,Statements at block level 3,Statements at block level 4,Statements at block level 5,Statements at block level 6,Statements at block level 7,Statements at block level 8,Statements at block level 9
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_NV_Mem.h,151,17,0.0,68.9,1,0.00,0.0,,,0,51,1,0.65,0.00,0,6,11,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Owner.cpp,1800,613,20.9,24.7,0,68.00,7.9,59,DCI_Owner::Init_Owner(),17,89,5,1.49,2.93,0,78,297,144,54,33,7,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Owner.h,1034,169,4.7,63.1,1,2.00,1.0,723,DCI_Owner::Get_Patron_Attrib(),1,725,2,1.00,1.00,1,12,145,12,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Patron.cpp,1225,495,43.4,15.6,0,23.00,20.2,59,DCI_Patron::Data_Access(),55,1049,8,2.85,8.74,0,31,142,71,49,72,95,28,6,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Patron.h,251,48,0.0,54.2,1,3.00,0.7,87,DCI_Patron::Good_Alignment(),1,178,2,0.75,1.00,0,14,32,2,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Source_IDs.h,62,13,0.0,56.5,0,0.00,0.0,44,DCI_SOURCE_IDS_Get_Privileged(),1,46,1,0.31,1.00,2,9,4,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Worker.cpp,889,366,27.0,16.9,0,27.00,12.2,133,DCI_Worker::Check_In_Default(),11,163,6,1.98,5.22,0,36,141,65,60,49,14,1,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Worker.h,411,57,0.0,68.6,1,3.00,1.0,386,DCI_Worker::Is_Locked(),1,388,2,0.91,1.00,0,8,46,3,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Workers.cpp,1325,544,36.4,17.9,0,41.00,12.1,122,DCI_Workers::Check_Access(),53,156,6,1.95,4.59,0,47,232,57,143,44,18,3,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Workers.h,390,57,0.0,63.3,1,0.00,0.0,,,0,60,1,0.86,0.00,0,8,49,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Param_Lock.cpp,126,33,27.3,34.1,0,5.00,5.4,28,Param_Lock::Lock_Owner_Callback(),3,42,3,1.15,2.80,0,6,17,9,1,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Param_Lock.h,91,25,0.0,51.6,2,2.00,1.0,68,Param_Lock::Lock_Owner_Callback_Static(),1,39,2,0.96,1.00,0,5,16,4,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Range_Check.cpp,96,46,60.9,29.2,0,1.00,40.0,38,Range_Check::Check_Range(),17,49,3,1.91,17.00,0,6,2,28,10,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Range_Check.h,49,8,0.0,59.2,1,0.00,0.0,,,0,36,1,0.63,0.00,0,3,5,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Range_TPlate.hpp,156,70,27.1,21.2,1,2.00,28.5,29,Range_TPlate::Check(),17,86,7,2.96,11.50,0,7,6,16,15,15,4,5,2,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Delta_Com.cpp,136,38,7.9,39.0,0,9.00,3.1,48,Delta_Com::Is_Fragmented(),3,38,2,0.82,1.33,0,10,25,3,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Delta_Com.h,153,65,0.0,35.9,2,0.00,0.0,,,0,36,2,0.97,0.00,0,4,59,2,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Delta_Com_Client.cpp,866,405,42.0,13.7,0,15.00,25.6,292,Delta_Com_Client::Dcom_Client_Scan_Task(),60,791,8,2.57,10.60,0,21,133,74,65,42,35,24,9,2,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Delta_Com_Client.h,113,50,0.0,5.3,1,0.00,0.0,92,Dcom_Client_Scan_Task_Static(),1,26,1,0.36,1.00,1,32,18,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Delta_Com_Defines.h,296,139,0.0,25.0,0,0.00,0.0,,,0,17,0,0.00,0.00,0,139,0,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Delta_Com_Display.cpp,100,22,18.2,43.0,0,7.00,1.9,51,Delta_Com_Display::Faulted(),2,55,2,0.95,1.57,0,9,5,8,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Delta_Com_Display.h,145,36,0.0,45.5,2,6.00,0.0,105,Delta_Com_Display_Null::Faulted(),1,30,1,0.86,1.00,0,5,31,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Delta_Com_Identity.h,59,33,0.0,25.4,2,0.00,0.0,,,0,24,1,0.55,0.00,0,15,18,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Delta_Com_Server.cpp,583,261,34.1,12.7,0,11.00,22.3,181,Delta_Com_Server::Exchange_Delta_Parameters(),19,128,5,2.02,6.73,0,16,70,92,65,13,5,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Delta_Com_Server.h,140,49,0.0,31.4,1,1.00,1.0,100,Delta_Com_Server::Comm_Loss_Static(),1,101,2,0.76,1.00,0,13,35,1,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Delta_Com_Services.cpp,241,66,13.6,31.1,0,10.00,5.4,76,Delta_Com_Services::Reverse_Lookup(),4,87,4,1.29,2.00,0,12,34,11,7,2,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Delta_Com_Services.h,235,51,0.0,50.2,2,0.00,0.0,,,0,93,2,0.94,0.00,0,8,38,5,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Delta_Data.cpp,1073,461,33.0,22.9,0,21.00,20.6,964,Delta_Data::Convert_DCI_Status(),17,489,6,2.28,6.57,0,28,147,100,79,71,35,1,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Delta_Data.h,168,59,0.0,34.5,2,0.00,0.0,,,0,33,2,1.03,0.00,0,7,43,9,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Delta_Service.cpp,97,29,13.8,34.0,0,5.00,4.4,73,Delta_Service::RX_Change(),4,86,3,1.14,1.80,0,7,15,3,4,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Delta_Service.h,88,23,0.0,52.3,2,1.00,1.0,77,Delta_Service::RX_Change_Static(),1,54,2,1.09,1.00,0,4,13,6,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Interfaces\IDelta_Com_Client.h,45,8,0.0,15.6,1,0.00,0.0,,,0,40,1,0.25,0.00,0,6,2,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Interfaces\IDelta_Com_Manager.h,36,9,0.0,16.7,1,0.00,0.0,,,0,30,1,0.22,0.00,0,7,2,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Interfaces\IDelta_Com_Port.h,53,15,0.0,13.2,1,0.00,0.0,,,0,41,1,0.53,0.00,0,7,8,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Protocol_Specific\Modbus_Delta_Com_Client_Port.cpp,660,264,36.0,6.8,0,15.00,16.2,266,Modbus_Delta_Com_Client_Port::Device_Scan_Task(),36,125,6,2.40,7.87,0,21,73,53,44,46,24,3,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Delta_Com\Protocol_Specific\Modbus_Delta_Com_Client_Port.h,124,69,0.0,6.5,1,0.00,0.0,85,Device_Scan_Task_Static(),1,28,1,0.39,1.00,2,42,27,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\CIP_Asm.cpp,746,315,21.0,22.8,0,9.00,28.1,273,CIP_Asm::Access_Handler(),25,419,9+,2.68,6.80,1,53,87,45,52,16,12,14,5,11,20
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\CIP_Asm.h,110,48,0.0,22.7,1,4.00,0.8,46,CIP_Asm::Change_Track_Handler_Static(),1,67,2,0.77,1.00,0,14,31,3,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\CIP_Ctrl_Spvsr.cpp,87,17,0.0,50.6,0,0.00,0.0,58,CIP_CTRL_SPVSR_Execute(),1,61,1,0.47,1.00,2,9,8,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\CIP_Ctrl_Spvsr.h,35,4,0.0,68.6,0,0.00,0.0,,,0,16,0,0.00,0.00,0,4,0,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\CIP_Ident_Svc.cpp,102,26,30.8,48.0,0,0.00,0.0,70,CIP_IDENT_SVC_Execute(),5,86,3,1.31,3.00,2,8,6,8,4,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\CIP_Ident_Svc.h,31,2,0.0,74.2,0,0.00,0.0,,,0,15,0,0.00,0.00,0,2,0,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\Dynamic_In_Asm.cpp,680,176,28.4,41.5,0,15.00,10.5,546,Dynamic_In_Asm::Check_Terminator_And_Length_CBack(),20,424,6,1.77,4.33,0,19,75,32,35,8,6,1,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\Dynamic_In_Asm.h,110,47,0.0,25.5,1,3.00,0.7,38,Dynamic_In_Asm::Check_Terminator_And_Length_CBack_Static(),1,60,2,0.81,1.00,0,11,34,2,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\Dynamic_Out_Asm.cpp,551,128,28.9,45.9,0,11.00,10.4,443,Dynamic_out_Asm::Check_Terminator_And_Length_CBack(),19,384,5,1.71,4.36,0,14,55,24,27,5,3,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\Dynamic_Out_Asm.h,101,42,0.0,24.8,1,3.00,0.7,38,Dynamic_out_Asm::Check_Terminator_And_Length_CBack_Static(),1,58,2,0.81,1.00,0,10,30,2,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\EIP_Device_Identity.cpp,210,66,10.6,30.5,0,11.00,4.8,160,EIP_Device_Identity::Write_Protect_Callback(),8,169,3,1.09,1.64,0,13,40,7,6,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\EIP_Device_Identity.h,114,33,0.0,44.7,2,0.00,0.0,,,0,39,2,0.91,0.00,0,8,20,5,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\EIP_Display.cpp,599,223,27.4,30.4,0,18.00,10.6,523,EIP_Display::Update_Display(),13,564,4,1.78,3.39,0,32,39,99,52,1,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\EIP_Display.h,122,51,3.9,27.0,1,5.00,1.4,76,EIP_Display::Toggle(),3,80,3,1.10,1.40,0,4,40,5,2,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\EIP_Obj_Svc.cpp,109,22,18.2,47.7,0,0.00,0.0,74,EIP_OBJ_SVC_Execute(),8,50,2,0.95,5.00,2,7,9,6,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\EIP_Obj_Svc.h,50,13,0.0,46.0,0,0.00,0.0,,,0,15,0,0.00,0.00,0,13,0,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\EtherNetIP_DCI.cpp,758,338,36.1,18.1,0,12.00,26.6,258,EtherNetIP_DCI::Set(),34,307,6,2.42,10.58,0,19,77,80,85,62,12,3,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\EtherNetIP_DCI.h,174,69,0.0,26.4,1,3.00,0.7,139,EtherNetIP_DCI::Class_List(),1,145,2,0.38,1.00,0,45,22,2,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\EtherNetIP_DCI_Defines.h,75,16,0.0,40.0,0,0.00,0.0,,,0,17,0,0.00,0.00,0,16,0,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\EtherNetIP_Defines.h,24,1,0.0,70.8,0,0.00,0.0,,,0,17,0,0.00,0.00,0,1,0,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\Shadow.cpp,210,50,0.0,51.9,0,5.00,8.4,47,Shadow::Get_DCID_Init_Data(),1,51,1,0.84,1.00,0,8,42,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\Shadow.h,77,18,0.0,36.4,1,1.00,1.0,40,Shadow::~Shadow(),1,42,2,0.78,1.00,0,5,12,1,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\EtherNetIP\Shadow_Product.h,43,12,0.0,48.8,1,0.00,0.0,,,0,36,1,0.42,0.00,0,7,5,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\IOT\IoT_DCI.cpp,461,210,36.7,12.1,0,9.00,21.6,288,IOT_DCI::Set_Tag_Value(),27,443,7,3.22,7.33,0,16,46,24,13,46,33,30,2,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\IOT\IoT_DCI.h,158,29,0.0,62.0,3,0.00,0.0,,,0,25,1,0.69,0.00,0,9,20,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\IOT\IOT_DCI_Config.cpp,215,70,7.1,27.0,0,10.00,5.8,120,IOT_DCI_Config::Get_IOT_Config_Data(),3,90,2,1.10,1.50,0,12,39,19,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\IOT\IOT_DCI_Config.h,155,42,0.0,56.1,2,0.00,0.0,,,0,37,2,1.14,0.00,0,6,24,12,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\IOT\IOT_Net.Cpp,285,138,18.8,18.6,0,5.00,25.2,27,IOT_Net::Receive_cmd(),6,103,5,2.28,5.20,0,12,14,40,68,3,1,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\IOT\IOT_Net.h,102,23,0.0,58.8,1,0.00,0.0,,,0,46,1,0.48,0.00,0,12,11,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\IOT\IOT_Pub_Sub.cpp,415,185,23.8,15.4,0,8.00,21.9,277,IOT_Pub_Sub::Get_Params(),26,128,7,2.61,7.63,0,10,60,26,37,27,9,5,11,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\IOT\IOT_Pub_Sub.h,118,20,0.0,63.6,1,0.00,0.0,,,0,42,1,0.60,0.00,0,8,12,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Modbus\Modbus_Buffer.cpp,260,80,13.8,31.2,0,13.00,5.0,120,Modbus_Buffer::Msg_Timeout_Check(),5,172,4,1.26,1.85,0,15,42,16,1,6,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Modbus\Modbus_Buffer.h,117,58,0.0,17.9,1,3.00,0.7,38,Modbus_Buffer::Msg_Timeout_Check_Static(),1,69,2,0.83,1.00,0,12,44,2,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Modbus\Modbus_Ch_Track.cpp,252,99,42.4,26.6,0,5.00,18.0,94,Modbus_Ch_Track::Change_Que_Reg_Callback(),26,127,5,1.89,8.60,0,9,29,36,15,9,1,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Modbus\Modbus_Ch_Track.h,121,29,0.0,47.1,1,3.00,0.7,73,Modbus_Ch_Track::Change_Que_Reg_Callback_Static(),1,96,2,0.79,1.00,0,8,19,2,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\Modbus\ModBus_CRC.cpp,204,28,7.1,44.1,0,0.00,0.0,93,MODBUS_LRC_Calc_On_String(),2,104,2,0.93,1.50,4,8,14,6,0,0,0,0,0,0,0
