Project Name,Checkpoint Name,Created On,File Name,Method,Complexity,Statements,Maximum Depth,Calls
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoWPM(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraConfirmedPrivateTransfer(),1,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCOV(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCreateObject(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraDeleteObject(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraGetAlarms(),1,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraGetCOVSubscriptions(),17,46,5,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraGetLastRestartTime(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraGetNumberOfCOVSubscriptions(),7,7,3,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraGetNumberOfObjects(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraGetNumberofRestartRecipients(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraGetNumberOfStructuredViewObjects(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraGetObjectAt(),7,14,2,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraGetPropertyDatatype(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraGetRestartNotifyRecipients(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraGetStructuredViewObjectAt(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraIHave(),1,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraLog(),1,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraPrivateTransfer(),1,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraReadProperty(),133,408,7,15
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraReadRange(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraResponse(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraSubscribeCOV(),33,136,5,37
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraSubscribeCOVProperty(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraUnsubscribedCOV(),1,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraWhoHas(),23,34,4,20
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraWriteProperty(),94,159,7,14
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,isObjectPresent(),10,23,4,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,Track_COV_registration(),10,26,6,12
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetUARTInterface.cpp,BACnet_UART.BACnet_RX_Msg_Handler(),9,23,7,4
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetUARTInterface.cpp,BACnet_UART.BACnet_Send_Frame(),3,9,2,5
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetUARTInterface.cpp,BACnet_UART.BACnet_Silencer(),2,2,2,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetUARTInterface.cpp,BACnet_UART.BACnet_UART(),3,13,2,7
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetUARTInterface.cpp,BACnet_UART.BACnet_UART_Callback(),5,12,3,9
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetUARTInterface.cpp,BACnet_UART.Disable_Port(),1,5,1,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetUARTInterface.cpp,BACnet_UART.Enable_Port(),10,48,3,8
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetUARTInterface.cpp,BACnet_UART.Idle(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetUARTInterface.cpp,BACnet_UART.Port_Enabled(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetUARTInterface.cpp,BACnet_UART.Send_BACNET_Frame_Right_Now(),1,4,1,3
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetUARTInterface.cpp,BACnet_UART.~BACnet_UART(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetUARTInterface.h,BACnet_UART.BACnet_RX_Msg_Handler_Static(),1,1,2,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetUARTInterface.h,BACnet_UART.BACnet_Silencer_Static(),1,1,2,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetUARTInterface.h,BACnet_UART.BACNET_UART_Callback_Static(),1,1,2,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\Binary_Search.cpp,Find_DCID_From_Modbus_ID(),7,18,4,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\Binary_Search.cpp,Find_From_DCID(),7,18,4,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\Binary_Search.cpp,Find_From_Modbus_ID(),7,18,4,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\Binary_Search.cpp,Find_Modbus_ID_From_DCID(),7,18,4,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BVObject.cpp,createBvObjects(),11,32,6,8
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BVObject.cpp,getPresentValueBV(),1,10,1,6
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BVObject.cpp,getPresentValueBV_from_Instance(),1,8,1,6
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BVObject.cpp,setPresentValueBV(),26,61,7,27
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BVObject.cpp,setPresentValueBV_using_Instance(),26,61,7,30
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\Cov.cpp,CovChangeTrackerPt(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\Cov.cpp,createCOVList(),5,13,4,4
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\CovChangeTracker.cpp,CovChangeTracker.Change_Track_Handler(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\CovChangeTracker.cpp,CovChangeTracker.CovChangeTracker(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\CovChangeTracker.cpp,CovChangeTracker.Track_ID(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\CovChangeTracker.cpp,CovChangeTracker.UnTrack_ID(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\CovChangeTracker.h,CovChangeTracker.Change_Track_Handler_Static(),1,1,2,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\CovChangeTracker.h,CovChangeTracker.~CovChangeTracker(),1,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\DevObject.cpp,fraGetDatabaseRevision(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\DevObject.cpp,fraGetDeviceInfo(),1,6,1,5
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\DevObject.cpp,fraGetTimeDate(),1,11,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\DevObject.cpp,fraIncrementDatabaseRevision(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\DevObject.cpp,fraReinitDevice(),10,12,3,3
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\DevObject.cpp,fraSaveDeviceVars(),1,8,1,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\DevObject.cpp,fraSetTimeDate(),1,11,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\DevObject.cpp,Init_Device_Info(),3,70,2,68
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\DevObject.cpp,toString(),5,15,3,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\MSVObject.cpp,createMSVObjects(),11,32,6,6
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\MSVObject.cpp,getPresentValueMSV(),18,68,4,5
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\MSVObject.cpp,getPresentValueMSV_from_Instance(),7,19,4,5
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\MSVObject.cpp,setPresentValueAV(),21,77,3,27
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Add_Tracker(),4,9,3,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Change_Tracker(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Change_Tracker(),2,4,2,4
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Clear_Change(),5,5,5,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Get_Next(),4,8,4,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Get_Next_Anything_Else_ID(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Get_Next_Full_DCID(),8,20,7,7
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Get_Next_Init_ID(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Get_Next_RAM_ID(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.ID_Change(),9,14,5,5
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.ID_Change_All_Other_Attributes(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.ID_Change_Init(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.ID_Change_RAM(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.ID_Tracked(),3,5,3,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Initialize_Trackers(),5,10,3,3
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Maintenance_Task(),6,14,6,5
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Peek_Next(),4,8,4,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Peek_Next_Anything_Else_ID(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Peek_Next_Init_ID(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Peek_Next_RAM_ID(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Remove_Tracker(),8,10,4,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Set_Change(),6,9,6,6
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.Track_ID(),15,26,5,14
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.UnTrack_All_IDs(),5,6,5,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.UnTrack_ID(),5,6,5,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,Change_Tracker.~Change_Tracker(),5,13,3,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.h,Change_Tracker.Clr_Track_Bit(),1,1,2,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.h,Change_Tracker.Set_Track_Bit(),1,1,2,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.h,Change_Tracker.Test_Track_Bit(),1,1,2,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker_Plus.cpp,Change_Tracker_Plus.Change_Tracker_Plus(),1,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker_Plus.cpp,Change_Tracker_Plus.Change_Tracker_Plus(),1,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker_Plus.cpp,Change_Tracker_Plus.Clear_Change(),5,5,5,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker_Plus.cpp,Change_Tracker_Plus.Peek_Next(),4,8,4,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker_Plus.cpp,Change_Tracker_Plus.Set_Change(),6,9,6,6
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker_Plus.cpp,Change_Tracker_Plus.~Change_Tracker_Plus(),1,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,DCI.Clear_Data(),5,14,3,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,DCI.Copy_16BIT(),1,6,1,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,DCI.Copy_16BIT_Check_For_Change(),3,10,2,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,DCI.Copy_32BIT(),1,8,1,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,DCI.Copy_32BIT_Check_For_Change(),5,12,2,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,DCI.Copy_64BIT(),1,12,1,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,DCI.Copy_64BIT_Check_For_Change(),9,16,2,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,DCI.Copy_8BIT(),1,5,1,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,DCI.Copy_8BIT_Check_For_Change(),2,9,2,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,DCI.Copy_Data(),2,10,2,3
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,DCI.Copy_Data_Check_For_Change(),5,18,3,3
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,DCI.Copy_Null_String_Data(),5,14,3,6
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,DCI.Copy_Null_String_Data_Check_For_Change(),7,20,4,7
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,DCI.Factory_Reset_DCID(),4,10,3,3
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,DCI.Init(),1,2,1,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,DCI.Reset_Req_Handler(),12,24,5,7
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.h,DCI.Get_Data_Block(),3,6,3,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.h,DCI.Get_Datatype_Size(),1,1,2,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.h,DCI.Is_Locked(),1,1,2,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.h,DCI.Lock(),1,1,2,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.h,DCI.Unlock(),1,1,2,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Config_CRC.cpp,DCI_Config_CRC.DCI_Config_CRC(),8,14,5,9
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Config_CRC.cpp,DCI_Config_CRC.Get_CRC(),1,3,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Config_CRC.cpp,DCI_Config_CRC.Retrieve_Stored_CRC(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Config_CRC.cpp,DCI_Config_CRC.Store_CRC(),1,3,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Config_CRC.cpp,DCI_Config_CRC.Trigger_CRC_Update(),1,4,1,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Config_CRC.cpp,DCI_Config_CRC.Update_Config_CRC_uTask(),6,14,3,7
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Config_CRC.cpp,DCI_Config_CRC.~DCI_Config_CRC(),1,3,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Config_CRC.h,DCI_Config_CRC.Trigger_CRC_Update_Static(),2,2,3,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Config_CRC.h,DCI_Config_CRC.Update_Config_CRC_uTask_Static(),1,1,2,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Defines.h,DCI_Access_Cmd_Mask(),1,2,1,3
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Defines.h,DCI_CBack_Decode_Error(),1,3,1,3
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Defines.h,DCI_CBack_Encode_Error(),1,3,1,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Lock.cpp,DCI_Lock.DCI_Lock(),7,15,3,4
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Lock.cpp,DCI_Lock.Lock(),2,3,2,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Lock.cpp,Patron_Lock.Patron_Lock(),1,1,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Lock.cpp,DCI_Lock.Unlock(),6,12,4,3
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Lock.cpp,DCI_Lock.~DCI_Lock(),9,16,4,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Lock.cpp,Patron_Lock.~Patron_Lock(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Lock.h,Patron_Lock.Lock(),1,1,2,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Lock.h,DCI_Lock.Locked(),1,1,2,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Lock.h,DCI_Lock.Locked(),1,1,2,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Lock.h,Patron_Lock.Locked(),1,1,2,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Lock.h,Patron_Lock.Locked(),1,5,2,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Lock.h,Patron_Lock.Unlock(),1,1,2,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Monitor.cpp,DCI_Monitor.Change_Handler(),9,35,4,12
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Monitor.cpp,DCI_Monitor.Change_Print(),20,55,3,18
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Monitor.cpp,DCI_Monitor.DCI_Monitor(),4,11,3,5
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Monitor.cpp,TPrint.Print_Float(),2,5,3,5
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Monitor.cpp,TPrint.Print_Int(),2,5,3,5
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Monitor.cpp,TPrint.Print_Uint(),2,5,3,5
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Monitor.cpp,DCI_Monitor.~DCI_Monitor(),1,5,1,2
